,km_driven,Chevrolet,Expensive,Ford,Honda,Hyundai,Mahindra,Maruti,Renault,Skoda,Tata,Toyota,Volkswagen,selling_price,fuel_Diesel,fuel_LPG,fuel_Petrol,owner_Fourth & Above Owner,owner_Second Owner,owner_Test Drive Car,owner_Third Owner
272,74000,False,False,False,False,True,False,False,False,False,False,False,False,320000,True,False,False,False,False,False,False
273,90000,False,False,False,False,False,False,True,False,False,False,False,False,375000,False,False,True,False,False,False,False
274,80000,False,False,False,False,True,False,False,False,False,False,False,False,300000,False,False,True,False,False,False,False
275,50000,False,False,False,False,False,False,False,False,False,True,False,False,500000,True,False,False,True,False,False,False
276,35000,False,False,False,False,False,False,True,False,False,False,False,False,404000,True,False,False,False,False,False,False
277,60000,False,False,False,False,True,False,False,False,False,False,False,False,500000,True,False,False,False,False,False,False
278,45000,False,False,False,False,True,False,False,False,False,False,False,False,350000,True,False,False,False,False,False,False
279,20000,False,True,False,False,False,False,False,False,False,False,False,False,380000,False,False,True,False,False,False,False
280,12000,False,False,False,False,False,True,False,False,False,False,False,False,114999,False,False,True,False,False,False,True
281,110000,False,False,False,False,False,False,False,False,False,True,False,False,335000,False,False,True,False,False,False,False
282,100000,False,False,True,False,False,False,False,False,False,False,False,False,465000,False,False,True,False,False,False,False
283,8500,False,False,False,False,False,False,True,False,False,False,False,False,290000,True,False,False,False,False,False,False
